id,datetime,user,size,change,note
997508760,2020-12-31 21:30:00,Politicsfan4,482242,+44,"changed degree per consensus on talk page here, thereby modifying Talk:Donald Trump#current consensus, item 18."
997427225,2020-12-31 13:08:00,JJMC89 bot III,482198,−64,Removing Category:Defeated Incumbent Presidents of the United States per Wikipedia:Categories for discussion/Log/2020 November 29#Category:Defeated Incumbent Presidents of the United States
997402055,2020-12-31 09:33:00,Onetwothreeip,482262,+28,"Reverted to revision 997325170 by MelanieN (talk): The editor justifies the tag well, and it should be there to remind other editors before they add more content to the article."
997326056,2020-12-31 00:27:00,Mandruss,482234,−28,Undid revision 997277580 by Alexceltare2 (talk) - see talk page archives for repeated decisions to omit this banner
997325170,2020-12-31 00:22:00,MelanieN,482262,+289,→‎Approval ratings:  add reference
997324848,2020-12-31 00:19:00,MelanieN,481973,+32,→‎Public profile
997277580,2020-12-30 20:05:00,Alexceltare2,481941,+28,This article definitely needs this banner unless consensus is established on further cleanup plans
997198306,2020-12-30 12:36:00,Mandruss,481913,+108,cite cleanup
997138732,2020-12-30 04:43:00,Onetwothreeip,481805,,"Undid revision 997136138 by 1990'sguy (talk) Too much for this article, better for the sub-articles"
997136735,2020-12-30 04:28:00,Davide King,483388,−57,→‎Film and television:  shorten
997136138,2020-12-30 04:24:00,1990'sguy,483445,,→‎Judiciary:  Add.
997129520,2020-12-30 03:40:00,Mandruss,481862,−23,cite cleanup
997128692,2020-12-30 03:34:00,Mandruss,481885,−448,cite cleanup
997127511,2020-12-30 03:26:00,Mandruss,482333,−9,cite cleanup
997126907,2020-12-30 03:22:00,Mandruss,482342,+90,→‎2020 presidential election:  cite cleanup
997122885,2020-12-30 02:58:00,MelanieN,482252,−32,Reverting. This wording has been heavily discussed on the talk page and requires a new discussion to change.
997120190,2020-12-30 02:41:00,Citation bot,482284,−10,"Alter: title. Add: work, author pars. 1-1. Removed parameters. Some additions/deletions were actually parameter name changes. | You can use this bot yourself. Report bugs here. | Suggested by UnguidedEmperor | via #UCB_webform"
997110416,2020-12-30 01:42:00,SPECIFICO,482294,+32,→‎top:  clarify overview of article content
997102841,2020-12-30 00:55:00,Onetwothreeip,482262,,→‎Foreign policy:  Trimming
997014364,2020-12-29 16:45:00,AleatoryPonderings,483700,−2,MOS:APOSTROPHE
997013342,2020-12-29 16:40:00,AleatoryPonderings,483702,+43,→‎Health care:  {{better source needed}} - not clear to me what HR Dive is?
997012719,2020-12-29 16:37:00,AleatoryPonderings,483659,+219,"→‎Support from the far right:  add page, doi, quote, precise pub date (not usually relevant for books, but I think it is here)"
997011238,2020-12-29 16:30:00,AleatoryPonderings,483440,+95,"→‎Family separation at border:  switch out cite - National Review is openly partisan, and doesn't publish original reporting AFAIK"
997010325,2020-12-29 16:25:00,AleatoryPonderings,483345,+51,"→‎Afghanistan:  rm non-WP:RS, add another cite from an RS, cite tweak"
996984137,2020-12-29 13:42:00,Mandruss,483294,+357,→‎Foreign policy:  bundle six consecutive cites
996982178,2020-12-29 13:29:00,Mandruss,482937,+14,→‎Russia:  cite cleanup
996980634,2020-12-29 13:18:00,Mandruss,482923,+2,→‎Foreign policy:  cite cleanup
996979449,2020-12-29 13:10:00,Mandruss,482921,+36,→‎Economy and trade:  cite cleanup
996976980,2020-12-29 12:53:00,ValarianB,482885,,Undid revision 996968902 by NaBUru38 (talk) Previous wording was accurate
996968902,2020-12-29 11:54:00,NaBUru38,483427,,Added more neutral phrase about fraud accusations from Post-election lawsuits related to the 2020 United States presidential election
996929764,2020-12-29 06:12:00,AleatoryPonderings,482885,−4,→‎Hospitalization with COVID-19:  perfect tense
996929350,2020-12-29 06:09:00,AleatoryPonderings,482889,−211,→‎Popular culture:  rm non-WP:RS
996929065,2020-12-29 06:08:00,AleatoryPonderings,483100,+34,→‎Immigration:  {{page needed}} - there is a (possible) preprint on SSRN (https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3381885) but the final version is subscription only at HeinOnline
996892385,2020-12-29 02:31:00,Onetwothreeip,483066,,→‎Foreign policy:  List of foreign leaders Trump has praised isn't due and can't meet completeness. Necessarily promotes some praise over others.
996890484,2020-12-29 02:21:00,Onetwothreeip,487001,,→‎Migrant detentions:  Trimming
